"",PARAGRAPHS
1581,Love this vacuum My children gave this to me as a Christmas gift I had recently moved in a house with hard wood floors and was having trouble keeping them clean from dust This vacuum takes care of...
1582,Love this Vacuum I bought this vacuum about 23 weeks ago And use it all the time It’s so light and easy to use Picks up great on my carpet and flooring
1583,Great product but it’s not perfect I love the multiple batteries charging stand multiple attachment heads and the fact that it cleans very well However the dust bin is hard to clean and the batter...
1584,Poor quality for high price I bought this 1 year 8 months ago I would have expected it to last longer for such a high price
1585,The motor is making a high pitched screeching sound Ive been using my old vacuum again because its not pleasant to listen to
1586,I must remove the filter every time I empty the canister because the dirt and dust gets stuck A tool is used for this but shortly after purchase the nothces wore down making the attachment not wor...
1587,The wand gets extended when used and shortened to charge When vaccuming carpet with any resistance the wand does not stay extended and will suddenly go in This has pinched my finger which was very...
1588,Lg only guarantees their products for 1 year After that youre on your own I am responsible to replace parts or the entire vacuum That is not financially possible I would not recommend this vacuum ...
1589,The vacuum was great at first Loved how easy it is to use Loved the onoff button versus having to squeeze a button while using
1590,Easy and Effective With dark hardwood floors we were constantly sweeping the floors This cordless handheld is AMAZING We absolutely LOVE it
1591,Great vacuum I bought it about a month ago I’m pleased with my buy so far I have 2 cats that leaves hair everywhere and this model been great so far I love all of the different attachments and the...
1592,Very quiet and handy I was looking for something that would quickly be able to pick up messes without a lot of noise So happy I got this LG It does exactly that and also has great power
1593,Loving this thing 3 months in
1594,So easy to handle Super convenient to use Even though I have a heavy duty vac LG CordZero is my go to
1595,Love it Better than the Dyson I had previously I wanted a quick release battery and got 2
1596,Works GREAT This cordless vacuum is so easy and convenient to use and works great So happy we purchased this LG product
1597,Better than Expected Much stronger suction than expected Battery life lasts longer even on plus power Completely satisfied
1598,Light versatile and surprisingly powerful I was surprised at how good this vacuum is at picking up big messes I works well on carpet is convenient for cleaning out the car and works well on hard w...
1599,Worked great until the plastic door broke I purchased this vacuum in November and used it maybe 5 times The latch on the canister was not catching and when I pushed it harder the latch held by thi...
1600,Way better than Dyson Lasts longer  you don’t have to hold down the trigger
1601,Excellent Buy I bought this cordless LG vacuum 2 months ago and I cant be happier The battery lasts longer than my previous cordless vacuum and to make it easier for users as it comes with 2 batte...
